,Link,Occurred,City,State,Country,Shape,Summary,Reported,Posted,Media
654,Open,08/24/2020 00:00,Reading,PA,USA,Oval,"the object was oval with red, white,blue lights blinking. It appereared slowly in the sky lights blinking going different directions. T",08/28/2020,09/04/2020,
655,Open,08/23/2020 04:30,Trafford,PA,USA,Cross,"Upright shaped cross, white lit spire on top, yellow lit longer rod from bottom moving west to east in Pennsylvania.",08/23/2020,08/27/2020,
656,Open,08/22/2020 20:36,Furlong,PA,USA,,MADAR Node 38,09/01/2020,09/04/2020,
657,Open,08/22/2020 06:00,Waynesboro,PA,USA,Light,Stationary light shot  upwards at a high rate of speed.,08/22/2020,08/27/2020,
658,Open,08/20/2020 00:00,Centerville,PA,USA,Light,"We were just outside on the deck having coffee and noticed what looked like a bright star in the sky. When we started watching it, it m",08/19/2020,08/20/2020,
659,Open,08/18/2020 21:45,Bethlehem,PA,USA,Disk,Disk shaped object blinking red and green lights was seen being followed by 3 low-flying planes with bright lights. A neon green ball o,08/18/2020,08/20/2020,
660,Open,08/18/2020 18:06,Warrington,PA,USA,Cigar,Saw an object that looked like a plane on top of a house,03/14/2023,04/09/2023,
661,Open,08/16/2020 00:00,Sunbury,PA,USA,Diamond,Diamond shaped craft in Sunbury,08/17/2020,08/20/2020,
662,Open,08/14/2020 16:00,Slippery Rock,PA,USA,Triangle,Was not of this planet.,08/14/2020,08/20/2020,
663,Open,08/12/2020 23:36,Pine Grove,PA,USA,Sphere,"I was outside around 11:00 to view the meteor shower that was to take place this night. As I sat and watched, something caught my atten",08/11/2020,08/20/2020,
664,Open,08/12/2020 00:30,Boiling Springs,PA,USA,Light,Star/satellite-like light in the night sky moving unusually and sporadically for a prolonged period of time.,08/12/2020,08/20/2020,
665,Open,08/11/2020 23:40,Hazleton,PA,USA,Light,"Two objects seen flying over Hazleton, PA in a northern direction.",08/12/2020,08/20/2020,
666,Open,08/10/2020 21:00,Dillsburg,PA,USA,Fireball,Large bright red flash seemed to appear out of the sky at 30 degrees and fall into the horizon.,08/10/2020,08/20/2020,
667,Open,08/09/2020 22:35,Chalfont,PA,USA,Triangle,"Dark triangular craft 3 blue lights, being followed by some type of HELICOPTER.",08/09/2020,08/20/2020,
668,Open,08/09/2020 22:04,Bangor,PA,USA,Light,"Single light [which I thought was a satellite] passing west of Altair moving north slowly towards Lacerta, split into two lights.  One",08/10/2020,08/20/2020,
669,Open,08/08/2020 23:30,Pittsburgh,PA,USA,Circle,"Circular UFO resembling a Roomba hovered 50yds behind our house, just over the neighbor’s house",08/09/2020,08/20/2020,
670,Open,08/08/2020 22:15,Pittsburgh,PA,USA,Unknown,5 people and myself witnessed a string of objects grouped tightly together high in the western sky  ((Starlink satellites?)),08/09/2020,08/20/2020,
671,Open,08/08/2020 22:15,Pittsburgh,PA,USA,Formation,Clear night spotting of an estimated 14 to 18 bright close lights non uniformly crossed above stopped then moved on turned immediately,08/09/2020,08/20/2020,
672,Open,08/08/2020 19:25,Tunkhannock,PA,USA,Cigar,Luminescent cigar shape craft in daylight.,08/08/2020,08/20/2020,
673,Open,08/08/2020 00:00,Verona,PA,USA,Other,Silver metallic pyramid shaped object rotating heading east.,08/09/2020,08/20/2020,
674,Open,08/06/2020 22:00,Youngsville,PA,USA,Formation,I Was sitting outside enjoying the night sky. I looked to the north and saw ufo's in a formation.  They were a very bright solid white.,08/27/2020,08/27/2020,
675,Open,08/03/2020 22:33,Uniontown,PA,USA,Sphere,Sphere shaped object changes color drops something and slowly disappears!!,08/04/2020,08/06/2020,
676,Open,08/03/2020 21:00,Collegeville,PA,USA,Circle,"A circular red ball was slowly flying west for about 45 seconds, then stopped and proceeded to fly northwest  and out of the atmosphere",08/04/2020,08/06/2020,
677,Open,08/02/2020 23:30,Lemont Furnace,PA,USA,Circle,Saw round object street across sky than hover and make incredible maneuver,08/06/2020,08/20/2020,
678,Open,08/02/2020 21:30,Uniontown,PA,USA,Disk,Swarm of Small blimp like objects with lights on front spotted while moon gazing!,08/04/2020,08/06/2020,
679,Open,08/02/2020 21:00,Everret,PA,USA,Circle,Circle type UFO with 4 square bright lights and triangle tail seen through binoculars traveled across the sky in less then 2 minutes.,08/03/2020,08/06/2020,
680,Open,08/01/2020 20:00,Paoli,PA,USA,Triangle,"Just above the trees. Dark metal, triangular silent, moving SW about 15 mph. 3 white lights down two edges, apex forward.",08/13/2023,09/10/2023,
681,Open,08/01/2020 04:00,Lehighton,PA,USA,Light,This is the 3rd experiences I've had in a 4-5 week span. Each experience has one common denominator a circle of brilliant white light t,08/01/2020,08/06/2020,
682,Open,08/01/2020 04:00,N. Wales,PA,USA,Chevron,Three bright lights in the sky that disappeared into darkness after I took three pictures.,08/02/2020,08/06/2020,
683,Open,07/31/2020 20:43,Yardley,PA,USA,Light,"Initially saw one bright light that passed over, then immediately after 2 more appeared",02/05/2023,03/06/2023,
684,Open,07/29/2020 23:00,Downingtown,PA,USA,Light,Third time seeing a white light moving in the sky then disappear - almost exactly the same each time,07/30/2020,07/31/2020,
685,Open,07/28/2020 16:00,Schnecksville,PA,USA,Disk,Insect or ufo?,07/28/2020,07/31/2020,
686,Open,07/28/2020 05:27,Holland,PA,USA,Cross,Explosive white circular light,08/12/2020,08/20/2020,
687,Open,07/27/2020 23:01,Downingtown,PA,USA,Light,Second night in a row that I've seen a light slowly traveling then vanish,07/29/2020,07/31/2020,
688,Open,07/27/2020 04:15,Portage,PA,USA,Formation,5 white-ish orbs high up forming an arrow they would go dark then get bright.,07/27/2020,07/31/2020,
689,Open,07/26/2020 23:20,Downingtown,PA,USA,Light,Saw a light moving in the sky and disappearing.,07/26/2020,07/31/2020,
690,Open,07/21/2020 21:40,Whitehall,PA,USA,Formation,5 or 6 orange balls/orbs forming an arrowhead,07/20/2020,07/23/2020,
691,Open,07/18/2020 22:52,Chester Springs,PA,USA,Sphere,Steady orange glowing sphere within a slightly larger glowing sphere moving west to east,07/19/2020,07/23/2020,
692,Open,07/17/2020 23:17,Nazareth,PA,USA,Disk,"On July 17, 2020 In Nazareth PA I went out to see if I was able to see the comet even though I was almost midnight. Right away I saw 4",07/18/2020,07/23/2020,
693,Open,07/17/2020 10:00,Havertown,PA,USA,Sphere,I was looking at Saturn and Jupiter in the Eastern sky around 10 pm when I noticed a light traveling from the East heading northwest to,07/17/2020,07/23/2020,
694,Open,07/15/2020 21:00,Hellertown,PA,USA,Fireball,"Objects with a fireball appearance, Hellertown PA",07/19/2020,07/23/2020,
695,Open,07/15/2020 15:00,Glen Mills,PA,USA,Cigar,moved right to left. no sound or how flying no other identifications,01/17/2022,03/04/2022,
696,Open,07/15/2020 00:00,Emmaus,PA,USA,Circle,What appeared to be a white star circling a red circle. Object was not sporadic in movement.,07/16/2020,07/23/2020,
697,Open,07/14/2020 22:16,Lords Valley,PA,USA,Cylinder,Glowing orange cylinder flying width-wise about 2000 ft in altitude crossing 70 degrees of sky silently in 8 seconds.,07/15/2020,07/23/2020,
698,Open,07/14/2020 22:15,Lords Valley,PA,USA,,MADAR Node 44. considerable compass heading change during the five-minute period of one-minute datalines of  03:15:27 to 03:20:32,03/15/2021,03/31/2021,
699,Open,07/14/2020 22:00,Upper Chichester,PA,USA,Unknown,Flashing lights in a sporadic pattern moving very fast over PA,07/15/2020,07/23/2020,
700,Open,07/14/2020 10:47,Lords Valley,PA,USA,,MADAR Node 44,07/23/2020,07/23/2020,
701,Open,07/14/2020 07:42,Millerton,PA,USA,,MADAR Node 104,07/23/2020,07/23/2020,
702,Open,07/13/2020 23:00,Sandy Lake,PA,USA,Circle,Resembled a Star.,07/13/2020,07/23/2020,
703,Open,07/13/2020 23:00,Worthville,PA,USA,Light,"Bright light traveling from southwest to northeast, too large to be a satellite.",07/14/2020,07/23/2020,
704,Open,07/13/2020 22:54,Thorndale,PA,USA,Light,I saw a moving light being followed by some type of plane,07/27/2020,07/31/2020,
705,Open,07/12/2020 00:00,New Kensington,PA,USA,Other,"Alien driving car, headlights shined in window as he pulled away, face to face with a grey alien, life-changing scary",07/13/2020,07/23/2020,
706,Open,07/11/2020 22:58,Erie,PA,USA,Circle,Perfectly shaped triangle of three craft hovering in the NE sky; one by one each left quickly disappearing into the darkness.,07/12/2020,07/23/2020,
707,Open,07/11/2020 22:45,Irwin,PA,USA,Circle,"At about 10:40 PM on July 11th, 2020 I took my dog outside in our back yard to use the bathroom. It was quiet for about the first 15 se",07/12/2020,07/23/2020,
708,Open,07/11/2020 22:17,New Florence,PA,USA,Orb,"At first it seemed against a clear night sky we were witnessing a shooting star. It shot across the stars stopped still illuminated, pa",07/13/2020,07/23/2020,
709,Open,07/11/2020 22:00,Erie,PA,USA,Triangle,I was leaving my house around 9:58pm to house sit my friends mothers place.(I ALWAYS look up at the sky on clear nights) I noticed 3 bl,07/11/2020,07/23/2020,
710,Open,07/11/2020 22:00,West Chester,PA,USA,Other,three vertically attached bright white stars wobbling left to right,07/11/2020,07/23/2020,
711,Open,07/11/2020 22:00,Schuylkill Haven,PA,USA,Other,"Translucent stingray-shaped object, no lights or noise at all, moved fast and vanished.",07/13/2020,07/23/2020,
712,Open,07/11/2020 21:47,Lords Valley,PA,USA,,MADAR Node 44,07/23/2020,07/23/2020,
713,Open,07/10/2020 09:20,Aliquippa,PA,USA,,MADAR Node 68,07/23/2020,07/23/2020,
